WEEKDAY,TIME,DATA,PREDICTDATA
THU,03:40:00,1662,1613.12
THU,03:45:00,1662,1613.12
THU,03:50:00,1661,1613.12
THU,03:55:00,1663,1613.12
THU,04:00:00,1656,1613.12
THU,04:05:00,1665,1613.12
THU,04:11:00,1664,1613.12
THU,04:16:00,1661,1613.12
THU,04:20:00,1667,1613.12
THU,04:25:00,1661,1613.12
THU,04:30:00,1704,1613.12
THU,04:36:00,1652,1613.12
THU,04:40:00,1645,1613.12
THU,04:45:00,1651,1613.12
THU,04:50:00,1648,1613.12
THU,04:55:00,1650,1613.12
THU,05:01:00,1648,1613.12
THU,05:06:00,1654,1613.12
THU,05:11:00,1652,1613.12
THU,05:16:00,1647,1613.12
THU,05:20:00,1652,1613.12
THU,05:26:00,1649,1613.12
THU,05:30:00,1642,1613.12
THU,05:35:00,1653,1613.12
THU,05:41:00,1649,1613.12
THU,05:46:00,1647,1613.12
THU,05:51:00,1668,1613.12
THU,05:56:00,1670,1613.12
THU,06:01:00,1661,1613.12
THU,06:05:00,1664,1613.12
THU,06:10:00,1667,1613.12
THU,06:15:00,1665,1613.12
THU,06:20:00,1664,1613.12
THU,06:25:00,1667,1613.12
THU,06:30:00,1661,1613.12
THU,06:35:00,1665,1613.12
THU,06:40:00,1659,1613.12
THU,06:45:00,1665,1613.12
THU,06:50:00,1663,1613.12
THU,06:55:00,1667,1613.12
THU,07:01:00,1658,1613.12
THU,07:05:00,1664,1613.12
THU,07:10:00,1668,1613.12
THU,07:16:00,1667,1613.12
THU,07:20:00,1669,1613.12
THU,07:26:00,1665,1613.12
THU,07:30:00,1669,1613.12
THU,07:36:00,1664,1613.12
THU,07:40:00,1667,1613.12
THU,07:46:00,1668,1613.12
THU,07:51:00,1675,1613.12
THU,07:56:00,1669,1613.12
THU,08:01:00,1668,1613.12
THU,08:06:00,1673,1613.12
THU,08:11:00,1671,1613.12
THU,08:15:00,1670,1613.12
THU,08:20:00,1666,1613.12
THU,08:25:00,1671,1613.12
THU,08:30:00,1673,1721.4
THU,08:35:00,1678,1721.4
THU,08:40:00,1697,1721.4
THU,08:45:00,1690,1721.4
THU,08:50:00,1703,1721.4
THU,08:56:00,1701,1721.4
THU,09:01:00,1707,1721.4
THU,09:05:00,1688,1721.4
THU,09:10:00,1689,1721.4
THU,09:15:00,1690,1721.4
THU,09:20:00,1726,1721.4
THU,09:26:00,1682,1721.4
THU,09:30:00,1681,1721.4
THU,09:36:00,1684,1721.4
THU,09:41:00,1677,1721.4
THU,09:45:00,1686,1721.4
THU,09:50:00,1685,1721.4
THU,09:55:00,1694,1721.4
THU,10:00:00,1695,1721.4
THU,10:06:00,1709,1721.4
THU,10:11:00,1707,1721.4
THU,10:15:00,1710,1721.4
THU,10:20:00,1705,1721.4
THU,10:25:00,1720,1721.4
THU,10:30:00,1712,1721.4
THU,10:36:00,1715,1721.4
THU,10:41:00,1716,1721.4
THU,10:45:00,1702,1721.4
THU,10:51:00,1716,1721.4
THU,10:55:00,1708,1721.4
THU,11:00:00,1699,1721.4
THU,11:05:00,1695,1721.4
THU,11:10:00,1686,1721.4
THU,11:15:00,1698,1721.4
THU,11:21:00,1699,1721.4
THU,11:26:00,1696,1721.4
THU,11:31:00,1699,1721.4
THU,11:36:00,1698,1721.4
THU,11:41:00,1696,1721.4
THU,11:46:00,1694,1721.4
THU,11:51:00,1704,1721.4
THU,11:56:00,1708,1721.4
THU,12:01:00,1701,1721.4
THU,12:06:00,1704,1721.4
THU,12:11:00,1706,1721.4
THU,12:16:00,1705,1721.4
THU,12:21:00,1711,1721.4
THU,12:26:00,1703,1721.4
THU,12:31:00,1702,1721.4
THU,12:36:00,1706,1721.4
THU,12:41:00,1702,1721.4
THU,12:47:00,1699,1721.4
THU,12:51:00,1711,1721.4
THU,12:56:00,1699,1721.4
THU,13:01:00,1697,1721.4
THU,13:06:00,1699,1721.4
THU,13:11:00,1698,1721.4
THU,13:16:00,1698,1721.4
THU,13:21:00,1701,1721.4
THU,13:26:00,1699,1721.4
THU,13:31:00,1699,1721.4
THU,13:36:00,1704,1721.4
THU,13:41:00,1699,1721.4
THU,13:46:00,1703,1721.4
THU,13:51:00,1709,1721.4
THU,13:56:00,1705,1721.4
THU,14:01:00,1701,1721.4
THU,14:06:00,1719,1721.4
THU,14:10:00,1703,1721.4
THU,14:15:00,1704,1721.4
THU,14:20:00,1708,1721.4
THU,14:26:00,1710,1721.4
THU,14:31:00,1708,1721.4
THU,14:35:00,1713,1721.4
THU,14:41:00,1735,1721.4
THU,14:46:00,1702,1721.4
THU,14:50:00,1702,1721.4
THU,14:55:00,1705,1721.4
THU,15:00:00,1696,1721.4
THU,15:05:00,1715,1721.4
THU,15:10:00,1724,1721.4
THU,15:15:00,1715,1721.4
THU,15:21:00,1737,1721.4
THU,15:25:00,1739,1721.4
THU,15:31:00,1716,1721.4
THU,15:36:00,1719,1721.4
THU,15:41:00,1734,1721.4
THU,15:46:00,1715,1721.4
THU,15:50:00,1712,1721.4
THU,15:55:00,1718,1721.4
THU,16:00:00,1703,1721.4
THU,16:06:00,1699,1721.4
THU,16:10:00,1719,1721.4
THU,16:16:00,1703,1721.4
THU,16:20:00,1708,1721.4
THU,16:25:00,1711,1721.4
THU,16:30:00,1709,1721.4
THU,16:35:00,1714,1721.4
THU,16:40:00,1748,1721.4
THU,16:45:00,1712,1721.4
THU,16:51:00,1718,1721.4
THU,16:55:00,1710,1721.4
THU,17:00:00,1698,1721.4
THU,17:05:00,1706,1721.4
THU,17:10:00,1699,1721.4
THU,17:15:00,1704,1721.4
THU,17:21:00,1699,1721.4
THU,17:25:00,1708,1721.4
THU,17:30:00,1709,1721.4
THU,17:36:00,1711,1721.4
THU,17:40:00,1710,1721.4
THU,17:45:00,1711,1721.4
THU,17:50:00,1709,1721.4
THU,17:55:00,1755,1721.4
THU,18:00:00,1690,1721.4
THU,18:05:00,1698,1721.4
THU,18:10:00,1701,1721.4
THU,18:15:00,1704,1721.4
THU,18:20:00,1705,1721.4
THU,18:25:00,1708,1721.4
THU,18:30:00,1700,1721.4
THU,18:35:00,1709,1721.4
THU,18:41:00,1700,1721.4
THU,18:45:00,1708,1721.4
THU,18:50:00,1700,1721.4
THU,18:55:00,1709,1721.4
THU,19:01:00,1705,1721.4
THU,19:05:00,1712,1721.4
THU,19:10:00,1711,1721.4
THU,19:15:00,1707,1721.4
THU,19:20:00,1702,1721.4
THU,19:25:00,1708,1721.4
THU,19:31:00,1710,1721.4
THU,19:36:00,1708,1721.4
THU,19:40:00,1879,1721.4
THU,19:45:00,1700,1721.4
THU,19:50:00,1703,1721.4
THU,19:56:00,1699,1721.4
THU,20:00:00,1696,1721.4
THU,20:05:00,1696,1721.4
THU,20:10:00,1700,1721.4
THU,20:15:00,1698,1721.4
THU,20:20:00,1738,1721.4
THU,20:26:00,1739,1721.4
THU,20:30:00,1775,1721.4
THU,20:35:00,1838,1721.4
THU,20:40:00,1850,1721.4
THU,20:45:00,1744,1721.4
THU,20:50:00,1785,1721.4
THU,20:55:00,1808,1721.4
THU,21:00:00,1782,1721.4
THU,21:05:00,1822,1721.4
THU,21:10:00,1846,1810.5
THU,21:16:00,1855,1810.5
THU,21:20:00,1867,1810.5
THU,21:25:00,1749,1810.5
THU,21:30:00,1748,1810.5
THU,21:35:00,1754,1810.5
THU,21:40:00,1752,1810.5
THU,21:45:00,1759,1810.5
THU,21:51:00,1760,1810.5
THU,21:56:00,1763,1810.5
THU,22:00:00,1653,1721.4
THU,22:05:00,1654,1721.4
THU,22:11:00,1647,1721.4
THU,22:15:00,1652,1721.4
THU,22:21:00,1647,1721.4
THU,22:25:00,1652,1721.4
THU,22:30:00,1648,1721.4
THU,22:35:00,1662,1721.4
THU,22:41:00,1655,1613.12
THU,22:46:00,1655,1613.12
THU,22:51:00,1661,1613.12
THU,22:56:00,1657,1613.12
THU,23:00:00,1662,1613.12
THU,23:05:00,1660,1613.12
THU,23:11:00,1652,1613.12
THU,23:15:00,1655,1613.12
THU,23:20:00,1658,1613.12
THU,23:26:00,1654,1613.12
