WEEKDAY,TIME,DATA,PREDICTDATA
THU,07:05:00,58,58.93
THU,07:10:00,58,58.93
THU,07:16:00,58,58.93
THU,07:20:00,117,58.93
THU,07:26:00,58,58.93
THU,07:30:00,58,58.93
THU,07:36:00,117,58.93
THU,07:40:00,58,58.93
THU,07:46:00,58,58.93
THU,07:51:00,58,58.93
THU,07:56:00,58,58.93
THU,08:01:00,58,58.93
THU,08:06:00,58,58.93
THU,08:11:00,58,58.93
THU,08:15:00,292,58.93
THU,08:20:00,58,58.93
THU,08:25:00,58,58.93
THU,08:30:00,58,58.93
THU,08:35:00,58,58.93
THU,08:40:00,234,58.93
THU,08:45:00,58,58.93
THU,08:50:00,58,58.93
THU,08:56:00,58,58.93
THU,09:01:00,58,58.93
THU,09:05:00,877,58.93
THU,09:10:00,468,58.93
THU,09:15:00,58,58.93
THU,09:20:00,117,58.93
THU,09:26:00,117,58.93
THU,09:30:00,58,58.93
THU,09:36:00,409,58.93
THU,09:41:00,58,58.93
THU,09:45:00,58,58.93
THU,09:50:00,58,58.93
THU,09:55:00,58,58.93
THU,10:00:00,58,58.93
THU,10:06:00,58,58.93
THU,10:11:00,58,58.93
THU,10:15:00,58,58.93
THU,10:20:00,117,58.93
THU,10:25:00,58,58.93
THU,10:30:00,117,58.93
THU,10:36:00,58,58.93
THU,10:41:00,58,58.93
THU,10:45:00,58,58.93
THU,10:51:00,58,58.93
THU,10:55:00,292,58.93
THU,11:00:00,58,58.93
THU,11:05:00,643,58.93
THU,11:10:00,292,58.93
THU,11:15:00,760,58.93
THU,11:21:00,58,58.93
THU,11:26:00,58,58.93
THU,11:31:00,58,58.93
THU,11:36:00,58,58.93
THU,11:41:00,58,58.93
THU,11:46:00,58,58.93
THU,11:51:00,58,58.93
THU,11:56:00,117,58.93
THU,12:01:00,58,58.93
THU,12:06:00,117,58.93
THU,12:11:00,58,58.93
THU,12:16:00,58,58.93
THU,12:21:00,58,58.93
THU,12:26:00,58,58.93
THU,12:31:00,58,58.93
THU,12:36:00,58,58.93
THU,12:41:00,58,58.93
THU,12:47:00,58,58.93
THU,12:51:00,58,58.93
THU,12:56:00,117,58.93
THU,13:01:00,58,58.93
THU,13:06:00,117,58.93
THU,13:11:00,58,58.93
THU,13:16:00,58,58.93
THU,13:21:00,58,58.93
THU,13:26:00,234,58.93
THU,13:31:00,292,58.93
THU,13:36:00,58,58.93
THU,13:41:00,58,58.93
THU,13:46:00,58,58.93
THU,13:51:00,58,58.93
THU,13:56:00,58,58.93
THU,14:01:00,58,58.93
THU,14:06:00,58,58.93
THU,14:10:00,936,58.93
THU,14:15:00,58,58.93
THU,14:20:00,760,58.93
THU,14:26:00,58,58.93
THU,14:31:00,58,58.93
THU,14:35:00,58,58.93
THU,14:41:00,58,58.93
THU,14:46:00,58,58.93
THU,14:50:00,117,58.93
THU,14:55:00,58,58.93
THU,15:00:00,58,58.93
THU,15:05:00,936,58.93
THU,15:10:00,234,58.93
THU,15:15:00,58,58.93
THU,15:21:00,58,58.93
THU,15:25:00,234,58.93
THU,15:31:00,58,58.93
THU,15:36:00,117,58.93
THU,15:41:00,58,58.93
THU,15:46:00,292,58.93
THU,15:50:00,58,58.93
THU,15:55:00,117,58.93
THU,16:00:00,117,58.93
THU,16:06:00,58,58.93
THU,16:10:00,58,58.93
THU,16:16:00,409,58.93
THU,16:20:00,1287,58.93
THU,16:25:00,58,58.93
THU,16:30:00,117,58.93
THU,16:35:00,1755,58.93
THU,16:40:00,58,58.93
